Date,Description
2026-01-01,New Year's Day
2026-02-16,Family Day
2026-04-03,Good Friday
2026-05-18,Victoria Day
2026-07-01,Canada Day
2026-08-03,Civic Holiday
2026-09-07,Labour Day
2026-10-12,Thanksgiving Day
2026-12-25,Christmas
2026-12-28,Boxing Day
,
2025-01-01,New Year's Day
2025-02-19,Family Day
2025-03-29,Good Friday
2025-05-20,Victoria Day
2025-07-01,Canada Day
2025-08-05,Civic Holiday
2025-09-02,Labour Day
2025-10-14,Thanksgiving Day
2025-12-25,Christmas
2025-12-26,Boxing Day
,
2024-01-01,New Year's Day
2024-02-19,Family Day
2024-03-29,Good Friday
2024-05-20,Victoria Day
2024-07-01,Canada Day
2024-08-05,Civic Holiday
2024-09-02,Labour Day
2024-10-14,Thanksgiving Day
2024-12-25,Christmas
2024-12-26,Boxing Day
,
2023-01-02,New Year's Day
2023-02-20,Family Day
2023-04-07,Good Friday
2023-05-22,Victoria Day
2023-07-03,Canada Day
2023-08-07,Civic Holiday
2023-09-04,Labour Day
2023-10-09,Thanksgiving Day
2023-12-25,Christmas
2023-12-26,Boxing Day
,
2022-01-03,In Lieu of New Year's Day
2022-02-21,Family Day
2022-04-15,Good Friday
2022-05-23,Victoria Day
2022-07-01,Canada Day
2022-08-01,Civic Holiday
2022-09-05,Labour Day
2022-10-10,Thanksgiving Day
2022-12-26,In Lieu of Christmas Day
2022-12-27,In Lieu of Boxing Day
,
2021-01-01,New Year's Day
2021-02-15,Family Day
2021-04-02,Good Friday
2021-05-24,Victoria Day
2021-07-01,Canada Day
2021-08-02,Civic Holiday
2021-09-06,Labour Day
2021-10-11,Thanksgiving Day
2021-12-24,Christmas Eve
2021-12-27,In Lieu of Christmas Day
2021-12-28,In Lieu of Boxing Day
,
2020-01-01,New Year’s Day
2020-02-17,Family Day
2020-04-10,Good Friday
2020-05-18,Victoria Day
2020-07-01,Canada Day
2020-08-03,Civic Holiday
2020-09-07,Labor Day
2020-10-12,Thanksgiving Day
2020-12-25,Christmas Day
2020-12-28,In Lieu of Boxing Day
,
2019-01-01,New Year’s Day
2019-02-18,Family Day
2019-04-19,Good Friday
2019-05-20,Victoria Day
2019-07-01,Canada Day
2019-08-05,Civic Holiday
2019-09-02,Labor Day
2019-10-14,Thanksgiving Day
2019-12-25,Christmas
2019-12-26,Boxing Day
,
2018-01-01,New Year’s Day
2018-02-19,Family Day
2018-03-30,Good Friday
2018-05-21,Victoria Day
2018-07-02,Canada Day In Lieu Of
2018-08-06,Civic Holiday
2018-09-03,Labor Day
2018-10-08,Thanksgiving Day
2018-12-25,Christmas
2018-12-26,Boxing Day
,
2017-01-02,"New Year’s Day, In lieu of"
2017-02-20,Family Day
2017-04-14,Good Friday
2017-05-22,Victoria Day
2017-07-03,"Canada Day, In lieu of"
2017-08-07,Civic Holiday
2017-09-04,Labor Day
2017-10-09,Thanksgiving Day
2017-12-25,Christmas
2017-12-26,Boxing Day
,
2016-01-01,New Year’s Day
2016-02-15,Family Day
2016-03-25,Good Friday
2016-05-23,Victoria Day
2016-07-01,Canada Day
2016-08-01,Civic Holiday
2016-09-05,Labor Day
2016-10-10,Thanksgiving Day
2016-12-26,"Christmas, In lieu of"
2016-12-27,"Boxing Day, In lieu of"
,
2015-01-01,New Year’s Day
2015-02-16,Family Day
2015-04-03,Good Friday
2015-05-18,Victoria Day
2015-07-01,Canada Day
2015-08-03,Civic Holiday
2015-09-07,Labour Day
2015-10-12,Thanksgiving Day
2015-12-25,Christmas
2015-12-28,"Boxing Day, In lieu of"
,
2014-01-01,New Year’s Day
2014-02-17,Family Day
2014-04-18,Good Friday
2014-05-19,Victoria Day
2014-07-01,Canada Day
2014-08-04,Civic Holiday
2014-09-01,Labour Day
2014-10-13,Thanksgiving Day
2014-12-25,Christmas Day
2014-12-26,Boxing Day
,
2013-01-01,New Year’s Day
2013-02-18,Family Day
2013-03-29,Good Friday
2013-05-20,Victoria Day
2013-07-01,Canada Day
2013-08-05,Civic Holiday
2013-09-02,Labour Day
2013-10-14,Thanksgiving Day
